state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,11,0
Andhra Pradesh,1177,235,31
Arunachal Pradesh,1,1,0
Assam,36,27,1
Bihar,277,56,2
Chandigarh,30,17,0
Chhattisgarh,37,32,0
Delhi,2918,877,54
Goa,7,7,0
Gujarat,3301,313,151
Haryana,289,176,3
Himachal Pradesh,40,22,1
Jammu and Kashmir,523,137,6
Jharkhand,82,13,3
Karnataka,511,188,20
Kerala,469,342,4
Ladakh,20,14,0
Madhya Pradesh,2168,302,106
Maharashtra,8068,1188,342
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,108,35,1
Puducherry,8,3,0
Punjab,313,71,18
Rajasthan,2185,518,41
Tamil Nadu,1885,1020,24
Telengana,1002,280,26
Tripura,2,2,0
Uttarakhand,51,33,0
Uttar Pradesh,1955,335,31
West Bengal,649,105,20
