state/ut,confirmed,cured/discharged,death
Andhra Pradesh,363,7,6
Andaman and Nicobar Islands,11,0,0
Arunachal Pradesh,1,0,0
Assam,29,0,0
Bihar,60,0,1
Chandigarh,18,7,0
Chhattisgarh,10,9,0
Delhi,898,25,13
Goa,7,1,0
Gujarat,241,26,17
Haryana,169,29,3
Himachal Pradesh,28,6,1
Jammu and Kashmir,184,6,4
Jharkhand,13,0,1
Karnataka,197,30,6
Kerala,357,96,2
Ladakh,15,10,0
Madhya Pradesh,259,0,16
Maharashtra,1364,125,97
Manipur,2,1,0
Mizoram,1,0,0
Odisha,44,2,1
Puducherry,5,1,0
Punjab,132,5,11
Rajasthan,463,21,3
Tamil Nadu,834,21,8
Telengana,473,35,7
Tripura,1,0,0
Uttarakhand,35,5,0
Uttar Pradesh,431,32,4
West Bengal,116,16,5
