state/ut,confirmed,cured/discharged,death
Andhra Pradesh,226,1,3
Andaman and Nicobar Islands,10,0,0
Arunachal Pradesh,1,0,0
Assam,26,0,0
Bihar,32,0,1
Chandigarh,18,0,0
Chhattisgarh,10,8,0
Delhi,523,19,7
Goa,7,0,0
Gujarat,144,22,12
Haryana,84,25,1
Himachal Pradesh,13,2,1
Jammu and Kashmir,109,4,2
Jharkhand,4,0,0
Karnataka,151,12,4
Kerala,314,55,2
Ladakh,14,10,0
Madhya Pradesh,165,0,9
Maharashtra,748,56,45
Manipur,2,0,0
Mizoram,1,0,0
Odisha,21,2,0
Puducherry,5,1,0
Punjab,76,4,6
Rajasthan,274,21,0
Tamil Nadu,571,8,5
Telengana,321,34,7
Uttarakhand,26,4,0
Uttar Pradesh,305,21,3
West Bengal,80,10,3
