state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,0,33,0
Andhra Pradesh,1220,2289,60
Arunachal Pradesh,3,1,0
Assam,1018,163,4
Bihar,1998,1618,20
Chandigarh,96,189,4
Chhattisgarh,344,102,1
Dadar Nagar Haveli,2,0,0
Delhi,10058,8075,416
Goa,29,41,0
Gujarat,6106,9230,1007
Haryana,932,971,20
Himachal Pradesh,197,111,5
Jammu and Kashmir,1405,908,28
Jharkhand,302,256,5
Karnataka,1877,997,48
Kerala,624,575,9
Ladakh,31,43,0
Madhya Pradesh,3104,4444,343
Maharashtra,34890,28081,2197
Manipur,54,8,0
Meghalaya,14,12,1
Mizoram,0,1,0
Nagaland,36,0,0
Odisha,762,1050,7
Puducherry,37,14,0
Punjab,222,1967,44
Rajasthan,2685,5739,193
Sikkim,1,0,0
Tamil Nadu,9024,12000,160
Telengana,1010,1412,77
Tripura,96,172,0
Uttarakhand,642,102,5
Uttar Pradesh,2834,4410,201
West Bengal,2851,1970,309
