state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,45,35,0
Andhra Pradesh,7961,3917,96
Arunachal Pradesh,103,11,0
Assam,4904,3039,9
Bihar,7181,5098,50
Chandigarh,381,315,6
Chhattisgarh,2028,1331,10
Dadra and Nagar Haveli and Daman and Diu,62,14,0
Delhi,53116,23569,2035
Goa,725,118,0
Gujarat,26141,18159,1618
Haryana,9743,4889,144
Himachal Pradesh,619,388,8
Jammu and Kashmir,5680,3194,75
Jharkhand,1965,1332,11
Karnataka,8281,5210,124
Kerala,2912,1511,21
Ladakh,744,95,1
Madhya Pradesh,11582,8748,495
Maharashtra,124331,62773,5893
Manipur,681,218,0
Meghalaya,44,33,1
Mizoram,130,1,0
Nagaland,198,125,0
Odisha,4677,3297,11
Puducherry,286,118,7
Punjab,3832,2636,92
Rajasthan,14156,10997,333
Sikkim,70,5,0
Tamil Nadu,54449,30271,666
Telangana,6526,3353,198
Tripura,1178,657,1
Uttarakhand,2177,1433,26
Uttar Pradesh,15785,9638,488
West Bengal,13090,7303,529
