state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,0,33,0
Andhra Pradesh,1150,2226,60
Arunachal Pradesh,2,1,0
Assam,895,125,4
Bihar,2150,1211,15
Chandigarh,96,189,4
Chhattisgarh,314,100,1
Dadar Nagar Haveli,2,0,0
Delhi,9142,7846,398
Goa,28,41,0
Gujarat,6343,8611,980
Haryana,762,940,19
Himachal Pradesh,203,87,5
Jammu and Kashmir,1261,875,28
Jharkhand,290,216,5
Karnataka,1839,894,48
Kerala,577,565,8
Ladakh,31,43,0
Madhya Pradesh,3042,4269,334
Maharashtra,33133,26997,2098
Manipur,51,8,0
Meghalaya,14,12,1
Mizoram,0,1,0
Nagaland,25,0,0
Odisha,829,887,7
Puducherry,37,14,0
Punjab,206,1949,42
Rajasthan,2937,5244,184
Sikkim,1,0,0
Tamil Nadu,8779,11313,154
Telengana,973,1381,71
Tripura,80,171,0
Uttarakhand,609,102,5
Uttar Pradesh,2842,4244,198
West Bengal,2736,1775,302
