state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,48,37,0
Andhra Pradesh,9372,4495,111
Arunachal Pradesh,139,21,0
Assam,5586,3521,9
Bihar,7825,5781,55
Chandigarh,411,322,6
Chhattisgarh,2303,1513,12
Dadra and Nagar Haveli and Daman and Diu,91,27,0
Delhi,62655,36602,2233
Goa,864,152,1
Gujarat,27825,19909,1684
Haryana,11025,5916,169
Himachal Pradesh,727,437,8
Jammu and Kashmir,6088,3531,85
Jharkhand,2137,1469,11
Karnataka,9399,5730,142
Kerala,3310,1749,21
Ladakh,847,136,1
Madhya Pradesh,12078,9215,521
Maharashtra,135796,67706,6283
Manipur,898,250,0
Meghalaya,44,37,1
Mizoram,141,9,0
Nagaland,280,141,0
Odisha,5303,3863,15
Puducherry,383,149,8
Punjab,4235,2825,101
Rajasthan,15232,11910,356
Sikkim,78,29,0
Tamil Nadu,62087,34112,794
Telangana,8674,4005,217
Tripura,1237,782,1
Uttarakhand,2402,1521,28
Uttar Pradesh,18322,11601,569
West Bengal,14358,8687,569
