state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,1887,842,41
Arunachal Pradesh,1,1,0
Assam,59,34,1
Bihar,571,297,5
Chandigarh,150,21,1
Chhattisgarh,59,38,0
Dadar Nagar Haveli,1,0,0
Delhi,6318,2020,68
Goa,7,7,0
Gujarat,7402,1872,449
Haryana,647,279,8
Himachal Pradesh,50,38,2
Jammu and Kashmir,823,364,9
Jharkhand,132,52,3
Karnataka,753,376,30
Kerala,503,484,4
Ladakh,42,17,0
Madhya Pradesh,3341,1349,200
Maharashtra,19063,3470,731
Manipur,2,2,0
Meghalaya,12,10,1
Mizoram,1,0,0
Odisha,271,63,2
Puducherry,9,6,0
Punjab,1731,152,29
Rajasthan,3579,1916,101
Tamil Nadu,6009,1605,40
Telengana,1133,700,29
Tripura,118,2,0
Uttarakhand,63,46,1
