state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2474,1552,50
Arunachal Pradesh,1,1,0
Assam,107,41,2
Bihar,1391,494,9
Chandigarh,196,54,3
Chhattisgarh,93,59,0
Dadar Nagar Haveli,1,0,0
Delhi,10054,4485,168
Goa,38,7,0
Gujarat,11745,4804,694
Haryana,928,598,14
Himachal Pradesh,90,44,3
Jammu and Kashmir,1289,609,15
Jharkhand,223,113,3
Karnataka,1246,530,37
Kerala,630,497,4
Ladakh,43,41,0
Madhya Pradesh,5236,2435,252
Maharashtra,35058,8437,1249
Manipur,7,2,0
Meghalaya,13,11,1
Mizoram,1,1,0
Odisha,876,220,4
Puducherry,18,9,1
Punjab,1980,1547,37
Rajasthan,5507,3218,138
Tamil Nadu,11760,4406,81
Telengana,1597,1000,35
Tripura,167,85,0
Uttarakhand,93,52,1
Uttar Pradesh,4605,2783,118
West Bengal,2825,1006,244
