state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,16,11,0
Andhra Pradesh,757,96,22
Arunachal Pradesh,1,1,0
Assam,35,19,1
Bihar,114,42,2
Chandigarh,26,13,0
Chhattisgarh,36,25,0
Delhi,2081,431,47
Goa,7,7,0
Gujarat,2066,131,77
Haryana,254,127,3
Himachal Pradesh,39,16,1
Jammu and Kashmir,368,71,5
Jharkhand,46,0,2
Karnataka,415,114,17
Kerala,408,291,3
Ladakh,18,14,0
Madhya Pradesh,1540,127,76
Maharashtra,4669,572,232
Manipur,2,2,0
Meghalaya,11,0,1
Mizoram,1,0,0
Nagaland,0,0,0
Odisha,74,24,1
Puducherry,7,3,0
Punjab,245,39,16
Rajasthan,1576,205,25
Tamil Nadu,1520,457,17
Telengana,919,190,23
Tripura,2,1,0
Uttarakhand,46,18,0
Uttar Pradesh,1294,140,20
