state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,12,11,0
Andhra Pradesh,572,36,14
Arunachal Pradesh,1,0,0
Assam,35,5,1
Bihar,83,37,2
Chandigarh,21,9,0
Chhattisgarh,36,24,0
Delhi,1707,72,42
Goa,7,6,0
Gujarat,1099,86,41
Haryana,225,43,3
Himachal Pradesh,36,16,1
Jammu and Kashmir,328,42,5
Jharkhand,33,0,2
Karnataka,359,89,13
Kerala,396,255,3
Ladakh,18,14,0
Madhya Pradesh,1310,69,69
Maharashtra,3323,331,201
Manipur,2,1,0
Meghalaya,9,0,1
Mizoram,1,0,0
Nagaland#,0,0,0
Odisha,60,19,1
Puducherry,7,1,0
Punjab,202,27,13
Rajasthan,1229,183,11
Tamil Nadu,1323,283,15
Telengana,766,186,18
Tripura,2,1,0
Uttarakhand,40,9,0
Uttar Pradesh,849,82,14
West Bengal,287,55,10
